{0x30810463,0x3e885368,0xfab5361f,0xbaabce1a,0xe30605fb,0x95d188e3,0xaf327f4e,0xbf88979d}{0x62c003b6,0xb0a5b5f6,0xd10ccc65,0xe2acf33d,0x1b08374c,0xfa9321a1,0x343caa81,0xa76c72f3}
{0x6e60cdec,0xa5c0f951,0xe7053fe8,0xa939a829,0x54790876,0xa5fb9ce4,0xaa0bf6df,0x38e8412f}{0x7c88c8c2,0x0dbc5e67,0x17d34996,0x96ff0943,0x1177182f,0xd5c6284e,0xfab92f7b,0x4ccdf0be}
{0x1bf8f537,0x69c587dc,0x598c2c3a,0x437632c3,0xd24ee157,0x01fee95e,0x006a17e3,0x18b8200b}{0x811c1508,0x722b6dbe,0x9a036e19,0xeb12aac0,0xccb34115,0x95c71ab6,0x56bbc1e6,0x83b527a9}
{0x0f1e6861,0xfe78fdfb,0xc32a3b95,0x9b99ac93,0xe81b9679,0x8d325b2c,0x93da826e,0x93e2e3df}{0xb3e32a11,0x0d6c9249,0x9ad92982,0x50419eec,0x6f3b1935,0x32afdf8b,0x60dd1566,0xaa775f7d}
{0x159130b3,0x1ce48653,0xa7b64db4,0xf9e22120,0x7056cad8,0x1435cc8a,0xee769aa2,0x2f450b6d}{0x7237c3ce,0x6ad84884,0xf80bd852,0x4fbe9dce,0x22ca4204,0x13fbdaa1,0x0a749d94,0x06cedd9d}
{0x3ad39f4a,0x1406979c,0x20b27be0,0x4ddcc282,0x72349187,0xeb29d274,0x2e4d2fb5,0x03bcd605}{0xa6d9e04e,0xf4a57165,0x347e2ed7,0x7cc66c7d,0x00721327,0x5a1ae3a3,0x67c9ae6c,0xb1a09bbf}
{0xa1447c48,0xb436b836,0x2c3c3c6c,0xef655d2b,0x585eab68,0x3479b5dc,0xde851355,0x836dba0f}{0x9fc6951f,0xd12aaa2d,0xcbf50bd1,0x94c4762a,0xcca49131,0xc8d9a76b,0x99835f73,0x9f1496d5}
{0x80aa06c9,0x04c22933,0x7520e92b,0x4776ac5f,0x11d43087,0x5f5226cf,0x4be6c8c8,0x2a1f0dbf}{0x5d4e1a4d,0xcc003210,0xa067ee73,0xaa286a94,0x3590a381,0x3280931d,0xae7f4bf1,0x7ce500b2}
{0x67bcc60e,0x4d312ecf,0x838ae542,0xf7edc046,0x316730cd,0xde597447,0x212d4650,0x9e91a37e}{0xa20ca26c,0xd74c3abc,0xa27ec1fa,0x0b4f77b2,0x1aa41e30,0x352e752c,0x36073049,0xb526c6a2}
{0xe1927219,0x9ca0ecf3,0x4bbeb9b8,0x40c1a07e,0x16d2e1e8,0x565bc2f5,0x2496b086,0x06bb1420}{0x5ef287a4,0x6a5a4922,0xf5c8d394,0x963f709e,0xe848979f,0x13fbcb32,0xf4772dd2,0xce7d8a1a}
{0x73f6ec7c,0xd65827ba,0x3fb9b450,0x4b67cf90,0x28ca9f17,0xafa23ea8,0xbd746b49,0xdec835a5}{0xeddd807a,0xd3011042,0x1632df07,0xe1f098c5,0xc4ed86e6,0x51923a45,0xc5fed216,0x41e45eb0}
{0x4eb7bc8f,0x905f9524,0xd6b96bb7,0x76684eba,0x34d0425b,0x4d6e5f12,0xd2fed302,0x27c25927}{0x4dcd0e4d,0xbc261b97,0x5639dfe4,0x80f7f098,0xeaf3d691,0x29bad030,0xab70e7ac,0x272f6d25}
{0x6754ceca,0xc74fde67,0xb035dc1c,0x3f60eeba,0x35e3e287,0xbd7a3560,0x74fce3b7,0xb22d94a6}{0xf216e507,0x5b6076c8,0x5a098baf,0xb94c436c,0xac7331ca,0xd4716c5d,0x9c79167e,0xa5878984}
{0x8033f10f,0xd6cd0b38,0xa823f2af,0x730f5622,0xd4b8c0f8,0xd3b972e6,0xd8aeda8a,0x75aa325e}{0xc91a1fcc,0xf4655f3e,0x30e69b73,0x7d607796,0xf805bcb4,0x114e0946,0xce347af1,0xf90a0d71}
{0xdaed6bbb,0x71d1f6a6,0xd4bda73d,0x651e1860,0x7ec32472,0xd84ab52a,0x427a4051,0xb3c17220}{0x8dd08f06,0xd20f2db1,0x7f86ec4d,0x8c74cd24,0xaa8e479a,0xce9e7728,0x35afb9c5,0x87cae802}
{0xb4b18ff0,0xd63bd93e,0x0ef2c71d,0xdee0fa6a,0xf2797ce7,0x2bb6b15b,0xc481599a,0x0ad31df8}{0x14c0eb8c,0x0055f968,0x6db7d788,0xa53a353c,0xc7bb92bf,0xd6676f13,0xf2533b12,0xee614882}
{0x62e94e7a,0x97b897a1,0x82ad9158,0xc1e02097,0xf0deae69,0x2a9bdfbb,0x2a33f351,0x6babac18}{0x9a017a8c,0x7f0ce83d,0xcbed1457,0xb4e1eab2,0xa59760c1,0x7481b3f9,0xc0467890,0x902f1abc}
{0xadb310e0,0x4507935d,0x38176825,0x88625569,0xaba0c8b0,0x37ece1f5,0x95d661d1,0x217a6f02}{0x56641c8c,0xf205be76,0xd04c4dcb,0xfce0ff33,0x30fc6598,0xc2bcae31,0xd561e5db,0xdb1b1a7e}
{0xf1aabff4,0x67a8ebb9,0xb99d0743,0x6da6ecc7,0xbf8ac481,0x86fa6839,0xffa58847,0x2757c0d1}{0x79c962b5,0x4a043377,0xc7f9fc98,0x3ba1ac9b,0x4cfb050b,0xac414beb,0x60bf85d6,0x2724041a}
{0x364a03fe,0xe6e8d5ab,0x87e986ab,0x6e4f836f,0xe13ca62c,0x99f03f62,0xa2618723,0xe665d189}{0x00acdfe6,0xb464caf9,0xabe01403,0x37d29f02,0x17c40c88,0x4dfa5949,0xfe53217e,0x2af78f3d}
{0xd4eb993d,0x73ef93e3,0x8ab5c3ae,0x2bda48c5,0xdbcc862a,0x76d36d78,0xd1deb80f,0xbb3f895e}{0xed270d30,0x4bc81fff,0xf38874c5,0xc054d193,0xf30bed02,0xd78969fa,0xb43165c1,0x20b48db6}
{0xcbfa21a3,0x558e80a4,0xfc097e65,0xef941516,0xa4a11ea7,0x88c34616,0xfbb295f1,0x5d0c2ab7}{0xe17ebaf9,0xd3287c32,0xe7184791,0x59b14215,0xb0340e64,0x57185301,0x0453238f,0x58834a89}
{0x71bab37d,0x123ca5ec,0x635dbab0,0xf21c043f,0xc0fcfe88,0x1a642894,0xeac44b2f,0xbc486b02}{0xe758fc03,0x3bed8cb2,0x8c848222,0x5fef2e51,0xf194dae0,0xeb739fab,0xa5ed760c,0xb2ced007}
{0xa52ffaf6,0x47306424,0xf2e1f8c8,0x8caea310,0xca8cf430,0x676be4dd,0xe230600c,0xaff17bfd}{0x8070f607,0xad3bf6fe,0x88a8230a,0x03f2497e,0x1e98dd70,0x5e44dae8,0xb9d1f7ff,0x0205f782}
{0x04fc6196,0x2a8e4046,0xacec800a,0x65adaabc,0x38254a9a,0x11f30fb0,0x40ed99b4,0x18219378}{0xa3886f15,0x3d17d338,0xb94af87a,0x35e4389a,0x53127f36,0xa926234a,0x0f4f0889,0xf485ac2f}
{0x138a9906,0xaf020866,0x233e8696,0x7d192d27,0x56f59b85,0x852260b0,0x8a945946,0x62f6627e}{0x26806503,0x2aedac30,0x9d81cd8e,0x0195c815,0x86a7c3a3,0xfa20f0d4,0xd7206a7a,0xd6100ef2}
{0x6e97cd38,0xfe5404f6,0x74f24e06,0x0df22834,0xd1ab6134,0xe7892f13,0x29c9d8f1,0x860a2b04}{0xdef29225,0x31454383,0x97290ff5,0x1080ec90,0x0294ec66,0xde027e23,0x03f4ac14,0xc9b4762d}
{0x564efa22,0x2be3f5f5,0x1ee27deb,0xc5f4cef5,0x0e25bd0d,0x3b239e56,0x9bf10706,0xdaf3f4f1}{0x5b919a7d,0x788294b5,0xbf83cb15,0x1bc79c9e,0x1e312dcb,0xe0642403,0x051194cd,0x7ffa38df}
